rpm,f_hz,voc_1coil_rms,voc_1coil_opt_rms,voc_phase_3series_rms,voc_line_Y_rms,bg_T,phi_Wb,N,R_coil_ohm
60,6.0,0.422,0.569,1.265,2.191,0.36,7.907e-05,200,3.4
70,7.0,0.492,0.664,1.476,2.556,0.36,7.907e-05,200,3.4
80,8.0,0.562,0.759,1.686,2.921,0.36,7.907e-05,200,3.4
90,9.0,0.632,0.854,1.897,3.286,0.36,7.907e-05,200,3.4
100,10.0,0.703,0.949,2.108,3.651,0.36,7.907e-05,200,3.4
110,11.0,0.773,1.043,2.319,4.016,0.36,7.907e-05,200,3.4
120,12.0,0.843,1.138,2.529,4.381,0.36,7.907e-05,200,3.4
130,13.0,0.913,1.233,2.74,4.746,0.36,7.907e-05,200,3.4
140,14.0,0.984,1.328,2.951,5.111,0.36,7.907e-05,200,3.4
150,15.0,1.054,1.423,3.162,5.477,0.36,7.907e-05,200,3.4
160,16.0,1.124,1.518,3.373,5.842,0.36,7.907e-05,200,3.4
170,17.0,1.194,1.613,3.583,6.207,0.36,7.907e-05,200,3.4
180,18.0,1.265,1.707,3.794,6.572,0.36,7.907e-05,200,3.4
