inner_choice,P,gap_mm,AWG,N_turns,R_coil_ohm,Bg_T,Phi_Wb,RPM,f_Hz,Voc_peak_V,Voc_rms_V,I_led_mA,FoM
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,60,3.0,3.016,2.133,1.65,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,90,4.5,4.524,3.199,7.26,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,120,6.0,6.032,4.265,12.86,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,150,7.5,7.54,5.331,18.47,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,180,9.0,9.048,6.398,24.07,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,210,10.5,10.556,7.464,29.68,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,240,12.0,12.064,8.53,35.28,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,270,13.5,13.572,9.597,40.89,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,300,15.0,15.08,10.663,46.49,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,330,16.5,16.588,11.729,52.09,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,360,18.0,18.096,12.795,57.7,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,390,19.5,19.603,13.862,63.3,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,420,21.0,21.111,14.928,68.91,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,450,22.5,22.619,15.994,74.51,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,480,24.0,24.127,17.061,80.12,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,510,25.5,25.635,18.127,85.72,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,540,27.0,27.143,19.193,91.33,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,570,28.5,28.651,20.259,96.93,0.37647
inner_D20x5,6,1.0,28,838,109.27,0.3405,7.4875e-05,600,30.0,30.159,21.326,102.54,0.37647
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,60,3.0,1.803,1.275,0.0,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,90,4.5,2.705,1.912,0.73,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,120,6.0,3.606,2.55,5.71,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,150,7.5,4.508,3.187,10.68,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,180,9.0,5.409,3.825,15.65,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,210,10.5,6.311,4.462,20.62,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,240,12.0,7.212,5.1,25.59,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,270,13.5,8.114,5.737,30.56,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,300,15.0,9.015,6.375,35.53,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,330,16.5,9.917,7.012,40.5,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,360,18.0,10.818,7.65,45.47,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,390,19.5,11.72,8.287,50.44,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,420,21.0,12.622,8.925,55.41,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,450,22.5,13.523,9.562,60.38,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,480,24.0,14.425,10.2,65.35,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,510,25.5,15.326,10.837,70.32,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,540,27.0,16.228,11.475,75.29,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,570,28.5,17.129,12.112,80.26,0.225073
inner_D20x5,6,1.0,26,501,41.09,0.3405,7.4875e-05,600,30.0,18.031,12.75,85.23,0.225073
inner_D20x5,6,2.0,28,838,110.39,0.3109,6.8364e-05,60,3.0,2.754,1.947,0.67,0.343733
inner_D20x5,6,2.0,28,838,110.39,0.3109,6.8364e-05,90,4.5,4.131,2.921,5.76,0.343733
inner_D20x5,6,2.0,28,838,110.39,0.3109,6.8364e-05,120,6.0,5.507,3.894,10.85,0.343733
inner_D20x5,6,2.0,28,838,110.39,0.3109,6.8364e-05,150,7.5,6.884,4.868,15.94,0.343733
inner_D20x5,6,2.0,28,838,110.39,0.3109,6.8364e-05,180,9.0,8.261,5.841,21.03,0.343733
